threshold,group_type,group,n,mean_dice,mean_iou
0.3,tumor,glioma,254,0.6639749762533499,0.5674074480483428
0.3,tumor,meningioma,306,0.9115036493285681,0.8550763278770163
0.3,tumor,pituitary,300,0.8320070922952443,0.739379161821708
0.35,tumor,glioma,254,0.6633683877333656,0.5669477404795772
0.35,tumor,meningioma,306,0.91189058398296,0.8555732517274703
0.35,tumor,pituitary,300,0.8333508397970044,0.741216746514881
0.4,tumor,glioma,254,0.6629345251431661,0.5666316597767512
0.4,tumor,meningioma,306,0.9124919095809947,0.8564655747492722
0.4,tumor,pituitary,300,0.8340345152798826,0.7421354472906425
0.45,tumor,glioma,254,0.6620802204234735,0.5657473135681005
0.45,tumor,meningioma,306,0.9128954511899601,0.8570353199657688
0.45,tumor,pituitary,300,0.8346652836933472,0.7430161621878285
0.5,tumor,glioma,254,0.6616317344263953,0.565606467162477
0.5,tumor,meningioma,306,0.9132689265896358,0.8575436232389254
0.5,tumor,pituitary,300,0.8348097897032801,0.7431229504095915
0.55,tumor,glioma,254,0.6610910562651392,0.5652631361227833
0.55,tumor,meningioma,306,0.9134670919218206,0.8577042029242222
0.55,tumor,pituitary,300,0.8355444916049759,0.7441471335562686
0.6,tumor,glioma,254,0.6600798534058012,0.5642959863758733
0.6,tumor,meningioma,306,0.9137890483584422,0.8580907960693185
0.6,tumor,pituitary,300,0.8362797769617191,0.7452411222108851
0.3,view,axial,346,0.807953044754327,0.7286783284894734
0.3,view,coronal,257,0.8158410547068193,0.7314841318548352
0.3,view,sagittal,257,0.8091400148125145,0.7294726581210428
0.35,view,axial,346,0.808496092014023,0.7295855234572477
0.35,view,coronal,257,0.8161524500419202,0.7319572845057531
0.35,view,sagittal,257,0.8095272903678464,0.7300605129599089
0.4,view,axial,346,0.8088576675491811,0.7302634420742302
0.4,view,coronal,257,0.8164804481694091,0.7323688714289712
0.4,view,sagittal,257,0.8097977437764923,0.7305587187892437
0.45,view,axial,346,0.8089869756271644,0.7305348368047894
0.45,view,coronal,257,0.8163325460566223,0.7323046715955625
0.45,view,sagittal,257,0.8101440126698186,0.7310899613916523
0.5,view,axial,346,0.8091004930177559,0.7308199355431929
0.5,view,coronal,257,0.8161991081444777,0.7322563036081847
0.5,view,sagittal,257,0.810294737799388,0.7313451703035391
0.55,view,axial,346,0.8096920278377141,0.7317239434820593
0.55,view,coronal,257,0.8161398320214633,0.7322795126745201
0.55,view,sagittal,257,0.8101168382861871,0.7311523094736784
0.6,view,axial,346,0.8101840097223176,0.7325541460017365
0.6,view,coronal,257,0.8156678099390552,0.7317884190916389
0.6,view,sagittal,257,0.8101687553813752,0.7313071695595202
0.3,size_group,large_>5%,60,0.8527352412541708,0.7857842738429706
0.3,size_group,medium_1-5%,454,0.8439869573518378,0.7724177342062158
0.3,size_group,small_<1%,346,0.759646518030293,0.6640574824305152
0.35,size_group,large_>5%,60,0.8514911169807117,0.7844988144934177
0.35,size_group,medium_1-5%,454,0.843711012906101,0.7722383127870168
0.35,size_group,small_<1%,346,0.7612863417455185,0.6662111045952953
0.4,size_group,large_>5%,60,0.8505018845200538,0.7836372802654902
0.4,size_group,medium_1-5%,454,0.8433837422640115,0.7720166470681714
0.4,size_group,small_<1%,346,0.7626933995463842,0.6680050493031378
0.45,size_group,large_>5%,60,0.8494804461797079,0.7826441223422687
0.45,size_group,medium_1-5%,454,0.8430296055831885,0.7716309558246154
0.45,size_group,small_<1%,346,0.7636118539137113,0.6693016558591324
0.5,size_group,large_>5%,60,0.8486891619861126,0.7819225046783685
0.5,size_group,medium_1-5%,454,0.8426156725610358,0.7712219731635018
0.5,size_group,small_<1%,346,0.7644185662712137,0.6704021687755082
0.55,size_group,large_>5%,60,0.8474336000780265,0.780745551114281
0.55,size_group,medium_1-5%,454,0.8422362742764246,0.7708005881412113
0.55,size_group,small_<1%,346,0.765549483742014,0.6719371753003258
0.6,size_group,large_>5%,60,0.8459949764112632,0.7793198099980752
0.6,size_group,medium_1-5%,454,0.841751358342113,0.7702424272393814
0.6,size_group,small_<1%,346,0.7666151716164088,0.6734972550097836
